symbol,entry_date,exit_date,type,entry_price,exit_price,pnl,pnl_pct,result
RAWA,2025-04-13,2025-04-15,SELL,868.63,877.75,-9.12,-1.05,LOSS
RAWA,2025-04-16,2025-04-28,BUY,878.45,851.68,-26.77,-3.05,LOSS
RAWA,2025-04-29,2025-05-05,SELL,845.74,835.0,10.74,1.27,WIN
RAWA,2025-05-20,2025-05-26,BUY,859.54,809.49,-50.05,-5.82,LOSS
RAWA,2025-05-27,2025-06-09,SELL,813.54,876.34,-62.8,-7.72,LOSS
RAWA,2025-06-10,2025-06-15,BUY,822.54,787.75,-34.79,-4.23,LOSS
RAWA,2025-06-16,2025-06-29,SELL,802.65,782.0,20.65,2.57,WIN
RAWA,2025-06-30,2025-07-17,BUY,793.71,827.37,33.66,4.24,WIN
RAWA,2025-07-28,2025-07-30,BUY,796.9,787.18,-9.72,-1.22,LOSS
RAWA,2025-08-03,2025-08-06,SELL,789.55,779.1,10.45,1.32,WIN
RAWA,2025-08-27,2025-08-28,SELL,774.92,771.83,3.09,0.4,WIN
RAWA,2025-09-01,2025-09-04,BUY,778.95,734.45,-44.5,-5.71,LOSS
RAWA,2025-09-25,2025-10-08,BUY,753.1,729.0,-24.1,-3.2,LOSS
RAWA,2025-10-28,2025-11-12,BUY,741.5,710.0,-31.5,-4.25,LOSS
RAWA,2025-11-19,2025-12-02,BUY,719.0,705.6,-13.4,-1.86,LOSS
RAWA,2025-12-07,2025-12-21,BUY,707.0,713.9,6.9,0.98,WIN
RFPL,2025-03-04,2025-03-06,SELL,830.0,810.1,19.9,2.4,WIN
RFPL,2025-04-02,2025-04-21,BUY,731.31,632.34,-98.97,-13.53,LOSS
RFPL,2025-05-26,2025-06-09,BUY,485.24,592.83,107.59,22.17,WIN
RFPL,2025-06-25,2025-07-01,SELL,565.68,582.8,-17.12,-3.03,LOSS
RFPL,2025-07-08,2025-07-09,SELL,590.2,611.79,-21.59,-3.66,LOSS
RFPL,2025-08-03,2025-08-11,SELL,674.76,406.1,268.66,39.82,WIN
RFPL,2025-09-07,2025-11-16,BUY,359.05,359.9,0.85,0.24,WIN
RFPL,2025-11-20,2025-11-27,BUY,352.0,414.0,62.0,17.61,WIN
RFPL,2025-12-10,2025-12-18,SELL,372.0,367.0,5.0,1.34,WIN
RHGCL,2025-03-03,2025-03-06,SELL,650.0,699.0,-49.0,-7.54,LOSS
RHGCL,2025-03-17,2025-03-27,SELL,635.0,537.05,97.95,15.43,WIN
RHGCL,2025-04-03,2025-05-20,BUY,536.16,356.8,-179.36,-33.45,LOSS
RHGCL,2025-06-12,2025-07-01,BUY,324.69,387.86,63.17,19.46,WIN
RHGCL,2025-07-13,2025-07-14,BUY,331.41,330.26,-1.15,-0.35,LOSS
RHGCL,2025-07-15,2025-07-24,SELL,349.62,357.8,-8.18,-2.34,LOSS
RHGCL,2025-07-28,2025-07-31,BUY,357.05,329.38,-27.67,-7.75,LOSS
RHGCL,2025-08-03,2025-08-14,SELL,326.21,305.85,20.36,6.24,WIN
RHGCL,2025-08-27,2025-09-01,BUY,303.9,285.73,-18.17,-5.98,LOSS
RHGCL,2025-09-24,2025-10-08,BUY,268.0,239.0,-29.0,-10.82,LOSS
RHGCL,2025-10-29,2025-12-07,BUY,241.0,256.0,15.0,6.22,WIN
RHGCL,2025-12-08,2025-12-14,SELL,256.0,248.0,8.0,3.12,WIN
RHPL,2025-04-02,2025-04-17,BUY,384.5,400.64,16.14,4.2,WIN
RHPL,2025-05-05,2025-05-14,BUY,388.95,384.48,-4.47,-1.15,LOSS
RHPL,2025-05-20,2025-05-28,SELL,391.12,379.61,11.51,2.94,WIN
RHPL,2025-06-08,2025-06-15,BUY,389.77,422.03,32.26,8.28,WIN
RHPL,2025-06-22,2025-06-23,BUY,380.43,380.31,-0.12,-0.03,LOSS
RHPL,2025-06-24,2025-07-08,SELL,373.03,350.65,22.38,6.0,WIN
RHPL,2025-07-21,2025-08-05,BUY,349.71,328.6,-21.11,-6.04,LOSS
RHPL,2025-08-21,2025-09-01,BUY,321.43,294.21,-27.22,-8.47,LOSS
RHPL,2025-09-23,2025-10-12,BUY,293.0,271.0,-22.0,-7.51,LOSS
RHPL,2025-10-13,2025-10-15,BUY,284.0,263.3,-20.7,-7.29,LOSS
RHPL,2025-10-29,2025-12-02,BUY,265.1,290.0,24.9,9.39,WIN
RHPL,2025-12-15,2025-12-18,BUY,273.9,272.0,-1.9,-0.69,LOSS
RHPL,2025-12-21,2025-12-23,SELL,270.0,268.9,1.1,0.41,WIN
RIDI,2025-03-10,2025-03-11,BUY,234.6,230.7,-3.9,-1.66,LOSS
RIDI,2025-03-12,2025-03-20,SELL,231.0,223.64,7.36,3.19,WIN
RIDI,2025-04-03,2025-04-07,BUY,222.68,218.99,-3.69,-1.66,LOSS
RIDI,2025-04-10,2025-04-17,BUY,220.13,232.23,12.1,5.5,WIN
RIDI,2025-04-23,2025-04-30,BUY,224.13,251.31,27.18,12.13,WIN
RIDI,2025-05-19,2025-06-12,SELL,260.67,278.54,-17.87,-6.86,LOSS
RIDI,2025-06-22,2025-07-03,SELL,259.8,259.34,0.46,0.18,WIN
RIDI,2025-07-10,2025-07-13,SELL,257.03,255.24,1.79,0.7,WIN
RIDI,2025-07-15,2025-07-17,SELL,259.04,270.25,-11.21,-4.33,LOSS
RIDI,2025-08-03,2025-08-12,SELL,259.64,251.65,7.99,3.08,WIN
RIDI,2025-09-23,2025-09-24,SELL,245.0,236.0,9.0,3.67,WIN
RIDI,2025-09-25,2025-10-14,BUY,235.0,222.0,-13.0,-5.53,LOSS
RIDI,2025-10-15,2025-10-28,SELL,220.1,232.0,-11.9,-5.41,LOSS
RIDI,2025-10-29,2025-12-02,BUY,226.5,225.0,-1.5,-0.66,LOSS
RIDI,2025-12-03,2025-12-14,SELL,224.9,220.9,4.0,1.78,WIN
RURU,2025-03-11,2025-03-12,BUY,775.0,777.5,2.5,0.32,WIN
RURU,2025-03-16,2025-03-24,SELL,770.0,736.8,33.2,4.31,WIN
RURU,2025-04-15,2025-04-16,SELL,723.22,741.18,-17.96,-2.48,LOSS
RURU,2025-04-22,2025-04-28,BUY,740.01,709.62,-30.39,-4.11,LOSS
RURU,2025-04-29,2025-05-08,SELL,713.16,716.43,-3.27,-0.46,LOSS
RURU,2025-05-11,2025-05-13,BUY,709.88,702.32,-7.56,-1.06,LOSS
RURU,2025-05-20,2025-06-04,BUY,711.05,680.57,-30.48,-4.29,LOSS
RURU,2025-06-08,2025-06-12,BUY,689.92,749.36,59.44,8.62,WIN
RURU,2025-06-26,2025-07-02,SELL,712.89,721.12,-8.23,-1.15,LOSS
RURU,2025-07-03,2025-07-06,BUY,719.05,713.04,-6.01,-0.84,LOSS
RURU,2025-07-08,2025-07-16,SELL,714.25,728.94,-14.69,-2.06,LOSS
RURU,2025-08-03,2025-08-14,SELL,750.26,741.56,8.7,1.16,WIN
RURU,2025-08-25,2025-09-08,SELL,743.58,710.1,33.48,4.5,WIN
RURU,2025-09-23,2025-09-28,SELL,726.0,725.5,0.5,0.07,WIN
RURU,2025-10-07,2025-10-15,BUY,733.0,700.0,-33.0,-4.5,LOSS
RURU,2025-10-16,2025-10-30,SELL,689.9,720.9,-31.0,-4.49,LOSS
RURU,2025-11-02,2025-11-09,BUY,727.0,830.0,103.0,14.17,WIN
RURU,2025-11-20,2025-12-03,SELL,757.9,740.0,17.9,2.36,WIN
SAHAS,2025-03-09,2025-03-11,BUY,512.0,508.0,-4.0,-0.78,LOSS
SAHAS,2025-03-12,2025-03-23,SELL,510.0,495.28,14.72,2.89,WIN
SAHAS,2025-04-02,2025-04-03,SELL,504.2,503.65,0.55,0.11,WIN
SAHAS,2025-04-07,2025-04-08,BUY,499.83,498.15,-1.68,-0.34,LOSS
SAHAS,2025-04-10,2025-04-17,BUY,499.55,514.48,14.93,2.99,WIN
